LastName_1,FirstName_1,Patronymic_1,Organization_1,Tel_1,Mob_1
LastName_2,FirstName_2,Patronymic_2,Organization_2,Tel_2,Mob_2
LastName_3,FirstName_3,Patronymic_3,Organization_3,Tel_3,Mob_3
LastName_4,FirstName_4,Patronymic_4,Organization_4,Tel_4,Mob_4
LastName_5,FirstName_5,Patronymic_5,Organization_5,Tel_5,Mob_5
LastName_6,FirstName_6,Patronymic_6,Organization_6,Tel_6,Mob_6
LastName_7,FirstName_7,Patronymic_7,Organization_7,Tel_7,Mob_7
LastName_8,FirstName_8,Patronymic_8,Organization_8,Tel_8,Mob_8
LastName_9,FirstName_9,Patronymic_9,Organization_9,Tel_9,Mob_9
LastName_10,FirstName_10,Patronymic_10,Organization_10,Tel_10,Mob_10
LastName_11,FirstName_11,Patronymic_11,Organization_11,Tel_11,Mob_11
LastName_12,FirstName_12,Patronymic_12,Organization_12,Tel_12,Mob_12
LastName_13,FirstName_13,Patronymic_13,Organization_13,Tel_13,Mob_13
LastName_14,FirstName_14,Patronymic_14,Organization_14,Tel_14,Mob_14
LastName_15,FirstName_15,Patronymic_15,Organization_15,Tel_15,Mob_15
LastName_16,FirstName_16,Patronymic_16,Organization_16,Tel_16,Mob_16
LastName_17,FirstName_17,Patronymic_17,Organization_17,Tel_17,Mob_17
LastName_18,FirstName_18,Patronymic_18,Organization_18,Tel_18,Mob_18
LastName_19,FirstName_19,Patronymic_19,Organization_19,Tel_19,Mob_19
LastName_20,FirstName_20,Patronymic_20,Organization_20,Tel_20,Mob_20
